word,pos,frequency,tf_idf,inf,source
free,JJ,100,0.0913781982369,-0.0185551827215,1
matrix,NN,64,0.0584820468716,-0.0140902597576,1
unitary,JJ,42,0.0383788432595,-0.0106186244002,1
follows,VBZ,40,0.0365512792948,-0.0102643179712,1
circular,JJ,38,0.03472371533,-0.0099022535505,1
matrices,NNS,36,0.0328961513653,-0.00953202245463,1
pencil,NN,33,0.0301548054182,-0.00896035544556,1
free circular,NA,28,0.0255858955063,-0.00795948231101,1
polynomials,NNS,28,0.0255858955063,-0.00795948231101,1
convex,NN,27,0.024672113524,-0.00775136109385,1
matrix convex,NA,27,0.024672113524,-0.00775136109385,1
Theorem,NNP,26,0.0237583315416,-0.00754036708737,1
Hence,NNP,25,0.0228445495592,-0.00732638974616,1
linear,JJ,24,0.0219307675769,-0.00710930967433,1
exists,VBZ,23,0.0210169855945,-0.00688899751806,1
j=1,NN,23,0.0210169855945,-0.00688899751806,1
denote,NN,22,0.0201032036121,-0.00666531266513,1
direct,JJ,21,0.0191894216298,-0.00643810170772,1
equation,NN,21,0.0191894216298,-0.00643810170772,1
invariant,JJ,21,0.0191894216298,-0.00643810170772,1
positive,JJ,21,0.0191894216298,-0.00643810170772,1
subspace,NN,21,0.0191894216298,-0.00643810170772,1
1<,CD,20,0.0182756396474,-0.0062071966119,1
Lemma,NNP,20,0.0182756396474,-0.0062071966119,1
spectrahedron,NN,20,0.0182756396474,-0.0062071966119,1
closed,VBD,19,0.017361857665,-0.00597241252025,1
free spectrahedron,NA,19,0.017361857665,-0.00597241252025,1
block,NN,18,0.0164480756826,-0.005733545091,1
cross,NN,18,0.0164480756826,-0.005733545091,1
operator,NN,18,0.0164480756826,-0.005733545091,1
conjugation,NN,17,0.0155342937003,-0.00549036724438,1
entries,NNS,17,0.0155342937003,-0.00549036724438,1
Math,NNP,16,0.0146205117179,-0.0052426251415,1
coordinate,NN,16,0.0146205117179,-0.0052426251415,1
cross terms,NA,16,0.0146205117179,-0.0052426251415,1
respect,NN,16,0.0146205117179,-0.0052426251415,1
terms,NNS,16,0.0146205117179,-0.0052426251415,1
Free,NNP,15,0.0137067297355,-0.00499003315497,1
defining,VBG,15,0.0137067297355,-0.00499003315497,1
proof,NN,15,0.0137067297355,-0.00499003315497,1
contains,VBZ,14,0.0127929477532,-0.00473226749393,1
decomposition,NN,14,0.0127929477532,-0.00473226749393,1
minimal,JJ,14,0.0127929477532,-0.00473226749393,1
particular,JJ,14,0.0127929477532,-0.00473226749393,1
polynomial,JJ,14,0.0127929477532,-0.00473226749393,1
chain,NN,13,0.0118791657708,-0.00446895800079,1
coordinate unitary,NA,13,0.0118791657708,-0.00446895800079,1
j],NN,13,0.0118791657708,-0.00446895800079,1
linear pencil,NA,13,0.0118791657708,-0.00446895800079,1
matrix,VBP,13,0.0118791657708,-0.00446895800079,1
size,NN,13,0.0118791657708,-0.00446895800079,1
spectrahedra,NN,13,0.0118791657708,-0.00446895800079,1
unitary conjugation,NA,13,0.0118791657708,-0.00446895800079,1
boundary,JJ,12,0.0109653837884,-0.00419967741296,1
convex sets,NA,12,0.0109653837884,-0.00419967741296,1
direct sums,NA,12,0.0109653837884,-0.00419967741296,1
free spectrahedra,NA,12,0.0109653837884,-0.00419967741296,1
matrix polynomials,NA,12,0.0109653837884,-0.00419967741296,1
monic,JJ,12,0.0109653837884,-0.00419967741296,1
sets,NNS,12,0.0109653837884,-0.00419967741296,1
Proposition,NNP,11,0.0100516018061,-0.00392392702704,1
Suppose,NNP,11,0.0100516018061,-0.00392392702704,1
circular free,NA,11,0.0100516018061,-0.00392392702704,1
commutative cross,NA,11,0.0100516018061,-0.00392392702704,1
convex,JJ,11,0.0100516018061,-0.00392392702704,1
matrix,JJ,11,0.0100516018061,-0.00392392702704,1
matrix balanced,NA,11,0.0100516018061,-0.00392392702704,1
variables,NNS,11,0.0100516018061,-0.00392392702704,1
A=,NNP,10,0.00913781982369,-0.00364111711911,1
balanced,VBD,10,0.00913781982369,-0.00364111711911,1
circular,NN,10,0.00913781982369,-0.00364111711911,1
equivalence,NN,10,0.00913781982369,-0.00364111711911,1
equivalent,JJ,10,0.00913781982369,-0.00364111711911,1
homogeneous,JJ,10,0.00913781982369,-0.00364111711911,1
integers,NNS,10,0.00913781982369,-0.00364111711911,1
positive integers,NA,10,0.00913781982369,-0.00364111711911,1
reducing,VBG,10,0.00913781982369,-0.00364111711911,1
sum,NN,10,0.00913781982369,-0.00364111711911,1
sums,NNS,10,0.00913781982369,-0.00364111711911,1
tuple,JJ,10,0.00913781982369,-0.00364111711911,1
unitarily equivalent,NA,10,0.00913781982369,-0.00364111711911,1
unitary equivalence,NA,10,0.00913781982369,-0.00364111711911,1
vector,NN,10,0.00913781982369,-0.00364111711911,1
Matrix,NNP,9,0.00822403784132,-0.00335053947734,1
block decomposition,NA,9,0.00822403784132,-0.00335053947734,1
direct sum,NA,9,0.00822403784132,-0.00335053947734,1
free matrix,NA,9,0.00822403784132,-0.00335053947734,1
homogeneous linear,NA,9,0.00822403784132,-0.00335053947734,1
implies,NNS,9,0.00822403784132,-0.00335053947734,1
theorem,NN,9,0.00822403784132,-0.00335053947734,1
unit,NN,9,0.00822403784132,-0.00335053947734,1
zero,CD,9,0.00822403784132,-0.00335053947734,1
Circular,NNP,8,0.00731025585896,-0.00305132762127,1
Fix,NNP,8,0.00731025585896,-0.00305132762127,1
Hahn-Banach,NNP,8,0.00731025585896,-0.00305132762127,1
