word,n_gram_score,pos,frequency,tf_idf,inf,source
free,2,JJ,100,0.0909674657534,-0.0185065578331,1
matrix,2,NN,64,0.0582191780822,-0.0140491839645,1
unitary,2,JJ,42,0.0382063356164,-0.0105855019469,1
follows,2,VBZ,40,0.0363869863014,-0.0102320925144,1
circular,2,JJ,38,0.0345676369863,-0.00987095996142,1
matrices,2,NNS,37,0.0336579623288,-0.00968737205822,1
pencil,2,NN,33,0.0300192636986,-0.00893155665363,1
polynomials,2,NNS,28,0.025470890411,-0.0079334434009,1
convex,2,NN,27,0.0245612157534,-0.00772590987894,1
free circular,10,JJ,27,0.0245612157534,-0.00772590987894,1
Theorem,2,NNP,26,0.0236515410959,-0.00751551648045,1
Hence,2,NNP,25,0.0227418664384,-0.00730215315691,1
linear,2,JJ,24,0.0218321917808,-0.00708570104911,1
exists,2,VBZ,23,0.0209225171233,-0.00686603138464,1
j=1,2,NN,23,0.0209225171233,-0.00686603138464,1
denote,2,NN,22,0.0200128424658,-0.00664300418332,1
direct,2,JJ,21,0.0191031678082,-0.00641646672688,1
equation,2,NN,21,0.0191031678082,-0.00641646672688,1
invariant,2,JJ,21,0.0191031678082,-0.00641646672688,1
positive,2,JJ,21,0.0191031678082,-0.00641646672688,1
subspace,2,NN,21,0.0191031678082,-0.00641646672688,1
1<,2,CD,20,0.0181934931507,-0.00618625173667,1
Lemma,2,NNP,20,0.0181934931507,-0.00618625173667,1
spectrahedron,2,NN,20,0.0181934931507,-0.00618625173667,1
closed,2,VBD,19,0.0172838184932,-0.00595217518619,1
block,2,NN,18,0.0163741438356,-0.00571403365215,1
cross,2,NN,18,0.0163741438356,-0.00571403365215,1
operator,2,NN,18,0.0163741438356,-0.00571403365215,1
conjugation,2,NN,17,0.0154644691781,-0.00547160107547,1
entries,2,NNS,17,0.0154644691781,-0.00547160107547,1
Math,2,NNP,16,0.0145547945205,-0.00522462475824,1
coordinate,2,NN,16,0.0145547945205,-0.00522462475824,1
respect,2,NN,16,0.0145547945205,-0.00522462475824,1
terms,2,NNS,16,0.0145547945205,-0.00522462475824,1
Free,2,NNP,15,0.013645119863,-0.00497282035693,1
cross terms,10,NNS,15,0.013645119863,-0.00497282035693,1
defining,2,VBG,15,0.013645119863,-0.00497282035693,1
proof,2,NN,15,0.013645119863,-0.00497282035693,1
contains,2,VBZ,14,0.0127354452055,-0.00471586553607,1
decomposition,2,NN,14,0.0127354452055,-0.00471586553607,1
free spectrahedron,10,NN,14,0.0127354452055,-0.00471586553607,1
matrix convex,10,NN,14,0.0127354452055,-0.00471586553607,1
minimal,2,JJ,14,0.0127354452055,-0.00471586553607,1
particular,2,JJ,14,0.0127354452055,-0.00471586553607,1
polynomial,2,JJ,14,0.0127354452055,-0.00471586553607,1
chain,2,NN,13,0.0118257705479,-0.00445339180187,1
coordinate unitary,10,JJ,13,0.0118257705479,-0.00445339180187,1
j],2,NN,13,0.0118257705479,-0.00445339180187,1
matrix,2,VBP,13,0.0118257705479,-0.00445339180187,1
size,2,NN,13,0.0118257705479,-0.00445339180187,1
spectrahedra,2,NN,13,0.0118257705479,-0.00445339180187,1
unitary conjugation,10,NN,13,0.0118257705479,-0.00445339180187,1
boundary,2,JJ,12,0.0109160958904,-0.00418497381223,1
convex sets,10,NNS,12,0.0109160958904,-0.00418497381223,1
matrix polynomials,10,NNS,12,0.0109160958904,-0.00418497381223,1
monic,2,JJ,12,0.0109160958904,-0.00418497381223,1
sets,2,NNS,12,0.0109160958904,-0.00418497381223,1
A=,2,NNP,11,0.0100064212329,-0.00391011510536,1
Proposition,2,NNP,11,0.0100064212329,-0.00391011510536,1
Suppose,2,NNP,11,0.0100064212329,-0.00391011510536,1
convex,2,JJ,11,0.0100064212329,-0.00391011510536,1
linear pencil,10,NN,11,0.0100064212329,-0.00391011510536,1
matrix,2,JJ,11,0.0100064212329,-0.00391011510536,1
variables,2,NNS,11,0.0100064212329,-0.00391011510536,1
balanced,2,VBD,10,0.00909674657534,-0.00362822860806,1
