word,source
#1,1
(symmetric monic) linear pencil,1
spectrahedron,1
linear matrix inequality,1
LMI,1
free spectrahedron,1
circular,1
free circular,1
subpencil,1
defining subpencil,1
minimal defining pencil,1
matrix pencil ball,1
invariant under coordinate unitary conjugation,1
irreducible,1
admissible chain,1
block zero column,1
matrix convex,1
closed under direct sums,1
closed under isometric conjugation,1
matrix balanced,1
detailed boundary,1
monic,1
operator pencil ball,1
affine linear mapping,1
espalier,2
partial commutative monoid,2
dimension range,2
Boolean algebra!complete ---,2
ring!Von Neumann regular ---,2
ring!right self-injective ---,2
lattice,2
lattice!complemented modular ---,2
"projectivity by decomposition@projectivity by decomposition
($\approxeq$)",2
AW*-algebra,2
Boolean space,2
Zzzgamma@$\ZZ_\gamma$,2
Rzzgamma@$\RR_\gamma$,2
Tzzgamma@$\two_\gamma$,2
interval topology,2
lattice!complete ---,2
Lebesgue measure,2
Boolean algebra,2
unrestrictedly additive!--- map|ii,2
"Banach, S.",2
"Tarski, A.",2
"Wagon, S.",2
"partial commutative
monoid",2
unrestrictedly refining relation,2
unrestrictedly additive!--- relation,2
equipotency|ii,2
Boolean space|ii,2
"Maharam, D.",2
lattice!complete ---|ii,2
lattice!complemented ---|ii,2
lattice!meet-continuous ---|ii,2
lattice!modular ---|ii,2
injective hull,2
ErzzE@$\rE(M)$,2
directly finite,2
"Goodearl, K.\,R.",2
"Boyle, A.\,K.",2
Busqu{\'e,2
"Eda, K.",2
cabozzplus@$c=a\oplus b$ (in a lattice)|ii,2
lattice!sectionally complemented ---|ii,2
lattice!sectionally complemented modular ---,2
continous geometry,2
"von Neumann, J.",2
"Maeda, F.",2
perspectivity@perspectivity ($\sim$),2
"Iwamura, T.",2
"Harding, J.",2
"Janowitz, M.\,F.",2
projectivity@projectivity ($\approx$),2
normal equivalence,2
"Wehrung, F.",2
dimension monoid,2
dzzimL@$\Dim L$,2
"Halperin, I.",2
W*-algebra,2
AW*-algebra|ii,2
"Kaplansky, I.",2
"Murray, F.\,J.",2
factor (W*-)|ii,2
"Wright, F.\,B.",2
lattice!sectionally complemented ---,2
"Maeda, S.",2
"Loomis, L.\,H.",2
"Fillmore, P.\,A.",2
lattice!partial ---,2
continuous dimension scale,2
"Lin, H.",2
Zzzgamma@$\ZZ_\gamma$|ii,2
Rzzgamma@$\RR_\gamma$|ii,2
Tzzgamma@$\two_\gamma$|ii,2
hyperstonian,2
D-universal,2
espalier!Boolean ---,2
"unczzqsup@$\sqcup$, $\bigsqcup$|ii",2
ozzmega@$\omega$|ii,2
coinitial (subset)|ii,2
dense|ii,2
antichain|ii,2
interval topology|ii,2
"Birkhoff, G.",2
"Frink, O.",2
gzzplus@$G^+$|ii,2
nzzn@$\NN$|ii,2
partially ordered abelian group!directed ---|ii,2
interpolation property|ii,2
partially ordered abelian group!Dedekind complete ---|ii,2
Nzzh@$\Nh^\Omega(x)$|ii,2
interior|ii,2
"Xzzinterior@$\overset{\,\circ",2
closure|ii,2
Xzzclosure@$\ol{X,2
semicontinuous!lower ---|ii,2
semicontinuous!upper ---|ii,2
extremally disconnected|ii,2
Stone space|ii,2
partial commutative monoid|ii,2
algebraic preordering|ii,2
order-unit|ii,2
lower embedding|ii,2
Szzbul@$\Sbul$|ii,2
abzzzlp@$a\blp b$|ii,2
refinement monoid!partial ---,2
refinement monoid|ii,2
lower embedding,2
SzzRef@$\Ref S$|ii,2
stczzonc@$s\conc t$|ii,2
refinement monoid,2
conical (\prm)|ii,2
cancellative|ii,2
ideal (of a \prm)|ii,2
orthogonal (elements)|ii,2
abozzrthab@$a\perp b$|ii,2
Xzzbot@$X^\bot$|ii,2
XzzplusY@$X_0+\cdots+X_{n-1,2
"lower
embedding",2
projection (of a \prm)|ii,2
direct summand (of a \prm)|ii,2
pzzbot@$p^\bot$ ($p$ projection)|ii,2
pzzroj@$\BB{S,2
pzzrojst@$\BBp{S,2
semilattice|ii,2
cabszzmsms@$c=b\sd a$|ii,2
general comparability|ii,2
lattice!chopped ---,2
pseudo-cancellation property|ii,2
separative (\pcm)|ii,2
cancellable (element)|ii,2
stably finite|ii,2
Szzfin@$S_\fin$|ii,2
abzzvaleb@$\bv{a\leq b,2
refinement monoid!Boolean-valued partial ---|ii,2
abzzvaeqb@$\bv{a=b,2
removable (in \prm s)|ii,2
abrzzem@$a\rem b$|ii,2
SzzDI@$\DI{S,2
refinement monoid!Boolean-valued partial ---,2
central cover|ii,2
czzca@$\cc(a)$|ii,2
adzzi@$\di{a,2
cabszzmsms@$c=b-a$|ii,2
continuous dimension scale|ii,2
mzzonesix@(M1--6)|ii,2
nzzonethree@(N1--3)|ii,2
"partial
commutative monoid",2
direct product (of \pcm s)|ii,2
"absolute (statement, function)|ii",2
definable function|ii,2
cancellable (element),2
"Bigard, A.",2
"Keimel, K.",2
"Wolfenstein, S.",2
polar (subset)|ii,2
cancellative,2
"Nakano, H.",2
"Stone, M.\,H.",2
"Halmos, P.\,R.",2
Ozzn@$\On$|ii,2
Zzzinfty@$\ZZ_\infty$|ii,2
Rzzinfty@$\RR_\infty$|ii,2
Tzzinfty@$\two_\infty$|ii,2
fgbzzvvfg@$\vbv{f\leq g,2
dense,2
pkszzcal@$\scal{p,2
pzzscalalp@$\scal{p,2
Lzzambdap@$\Lambda_p$|ii,2
Uzz(x)@$U^{(x),2
mzzu(x)@$\mu(x)(\fa)$|ii,2
antichain,2
multiple-free (element)|ii,2
Szzmf@$S_\mf$|ii,2
Czzfin@$\CC_{\fin,2
stably finite,2
Stone space,2
"Bernau, S.\,J.",2
"Anderson, M.",2
"Feil, T.",2
finitary unit|ii,2
dzzelta(x)@$\delta(x)(\fa)$|ii,2
"Type I, II, III (continuous dimension scale)|ii",2
Szzbar@$\ol{S,2
ezzpsilon@$\eps$ (canonical $S\to\ol{S,2
czzhi(p)@$\chi(p)$ ($p$ projection)|ii,2
czzhi(p)alp@$\alpha\cdot\chi(p)$|ii,2
Zzzinfty@$\ZZ_\infty$,2
Rzzinfty@$\RR_\infty$,2
Tzzinfty@$\two_\infty$,2
proper classes,2
NzzSIR@$\NSIR$|ii,2
Monoid (monoid that might be a proper class)|ii,2
Partial Commutative Monoid (possibly a proper class)|ii,2
"Continuous Dimension Scale (continuous dimension scale that might be a
proper class)|ii",2
Mzzh@\Mh|ii,2
Mzzl@\Ml|ii,2
"Partial Commutative Monoid (possibly a proper
class)",2
"Continuous Dimension Scale (continuous dimension scale that might be a
proper class)",2
Monoid (monoid that might be a proper class),2
espalier|ii,2
Lzzoneeight@(L1--8)|ii,2
unrestrictedly refining relation|ii,2
unrestrictedly additive!--- relation|ii,2
parallelogram rule|ii,2
espalier!bounded ---|ii,2
espalier!lower sub ---|ii,2
"Gr\""atzer, G.",2
lattice!relatively complemented ---,2
abzzlesssim@$a\lesssim b$ (in espaliers)|ii,2
dzzelta@$\DD(a)$|ii,2
dimension range|ii,2
Dzzrng@$\Drng L$,2
cabzzabplusb@$c=a\boxplus b$|ii,2
lattice!cardinal ---,2
strongly orthogonal (family)|ii,2
pzzcdota@$p\cdot a$|ii,2
purely infinite (=idem-multiple)|ii,2
homogeneous|ii,2
abbtzzrim@$a\trim b$|ii,2
trim (sequence)|ii,2
removable (in espaliers)|ii,2
abrszzem@$a\srem b$|ii,2
D-universal|ii,2
espalier!lower sub ---,2
Dzzrnggf@$\Drng\varphi$,2
espalier!Boolean ---|ii,2
lattice!Boolean ---,2
bzzzerotwo@(B0--2)|ii,2
espalier!Boolean pre ---|ii,2
"Jech, T.",2
xzzsim*y@$x\sim^*y$|ii,2
espalier!--- closure,2
SzSI@$\SS_I$|ii,2
espalier!Boolean pre ---,2
wzzdt@$\wdt(B)$|ii,2
szzupp@$\supp(x)$|ii,2
VzzVB@$V^B$,2
Bzzo@$\Bo$|ii,2
random algebra|ii,2
bzzlo@$\lBo$|ii,2
Czzo@$\Co$|ii,2
Cohen algebra|ii,2
czzlo@$\lCo$|ii,2
lattice!complemented ---,2
lattice!relatively complemented ---|ii,2
lattice!join-continuous ---|ii,2
lattice!continuous ---|ii,2
"Gierz, G.",2
"Hofmann, K.\,H.",2
"Lawson, J.\,D.",2
"Mislove, M.",2
"Scott, D.\,S.",2
lattice!Scott-continuous ---,2
continous geometry|ii,2
dimension monoid|ii,2
dzzimL@$\Dim L$|ii,2
"dzzeltab@$\DD(a,b)$|ii",2
lattice!modular ---,2
bi-perspectivity@bi-perspectivity ($\sim_2$)|ii,2
"projectivity by decomposition@projectivity by decomposition
($\approxeq$)|ii",2
perspective mapping,2
bi-perspectivity@bi-perspectivity ($\sim_2$),2
ring!right continuous regular ---|ii,2
Lzzat@$\Lat(R)$|ii,2
VzzofR@$V(R)$,2
"ring!Von Neumann
regular ---",2
MzzodR@$\ModR$|ii,2
azzddA@$\addA$|ii,2
kzzcdotA@$\kappa\cdot A$|ii,2
ABzzlesssimB@$A\lesssim B$ (for modules)|ii,2
BrzzB@$\rB(R)$|ii,2
"directly
finite",2
NzzSIR@$\NSIR$,2
"Lam, T.\,Y.",2
VzzofNSIR@$V(\NSIR)$,2
ring!maximal quotient ---,2
ring!continuous regular ---,2
lattice!continuous ---,2
ring!maximal right quotient ---,2
ring!right and left self-injective ---,2
"dimension
range",2
"Dixmier, J.",2
"Kadison, R.\,V.",2
"Ringrose, J.\,R.",2
"Li, B.-R.",2
"Sakai, S.",2
"Berberian,
S.\,K.",2
W*-algebra|ii,2
azznr@$\annr(S)$|ii,2
"Berberian, S.\,K.",2
hyperstonian|ii,2
self-supporting (subset)|ii,2
"Fremlin, D.\,H.",2
"Oxtoby, J.\,C.",2
ring!Baer ---,2
abzzarotimes@$A\barotimes B$|ii,2
monotone complete tensor products,2
"Hamana, M.",2
"Takeuti, G.",2
"Ozawa, M.",2
bounded global section algebra\ii,2
Abzzglobs@$\tlA$|ii,2
CCtzzCCx@$\tCCx$|ii,2
"J\'onsson, B.",2
"McKenzie, R.\,N.",2
"McNulty G.\,F.",2
"Taylor, W.\,F.",2
Jen\v{c,2
"Lov\'asz, L.",2
#1\,2
#1\right\,2
"\I,\,\II,\,\III\",2
QCD,3
Chiral~symmetry!in~QCD,3
Chiral~symmetry!in~QED,3
Chiral~perturbation~theory,3
Power~counting,3
Nuclear~force!long-range,3
Nuclear~force!short-range,3
Nuclear~phenomenology,3
Nuclear~force!OPEP,3
Nuclear~force!TPEP,3
Nuclear~force!three-nucleon,3
Nuclear~force!tensor,3
Nuclear~force!first-generation,3
