,word,source,pos
0,symmetric monic linear pencil,1,NN
1,spectrahedron,1,NN
2,linear matrix inequality,1,NN
3,LMI,1,NNP
4,free spectrahedron,1,NN
5,circular,1,JJ
6,free circular,1,JJ
7,subpencil,1,NN
8,defining subpencil,1,NN
9,minimal defining pencil,1,NN
10,matrix pencil ball,1,NN
11,invariant under coordinate unitary conjugation,1,NN
12,irreducible,1,JJ
13,admissible chain,1,NN
14,block zero column,1,NN
15,matrix convex,1,NN
16,closed under direct sums,1,NNS
17,closed under isometric conjugation,1,NN
18,matrix balanced,1,VBD
19,detailed boundary,1,JJ
20,monic,1,JJ
21,operator pencil ball,1,NN
22,affine linear mapping,1,VBG
23,espalier,2,JJR
24,partial commutative monoid,2,JJ
25,dimension range,2,NN
26,Boolean algebra complete ---,2,NNP
27,ring Von Neumann regular ---,2,JJ
28,ring right self-injective ---,2,JJ
29,lattice,2,NN
30,lattice complemented modular ---,2,JJ
31,projectivity by decomposition projectivity by decomposition approxeq ,2,JJ
32,AW -algebra,2,NNP
33,Boolean space,2,NNP
34,Zzzgamma ZZ gamma ,2,NNP
35,Rzzgamma RR gamma ,2,NNP
36,Tzzgamma two gamma ,2,NNP
37,interval topology,2,NN
38,lattice complete ---,2,JJ
39,Lebesgue measure,2,NNP
40,Boolean algebra,2,NNP
41,unrestrictedly additive --- map ii,2,JJ
42,Banach S ,2,NNP
43,Tarski A ,2,NNP
44,Wagon S ,2,NNP
45,partial commutative monoid,2,JJ
46,unrestrictedly refining relation,2,NN
47,unrestrictedly additive --- relation,2,JJ
48,equipotency ii,2,NN
49,Boolean space ii,2,NNP
50,Maharam D ,2,NNP
51,lattice complete --- ii,2,JJ
52,lattice complemented --- ii,2,JJ
53,lattice meet-continuous --- ii,2,JJ
54,lattice modular --- ii,2,JJ
55,injective hull,2,NN
56,ErzzE rE M ,2,NNP
57,directly finite,2,NN
58,Goodearl K R ,2,NNP
59,Boyle A K ,2,NNP
60,Busqu 'e,2,NNP
61,Eda K ,2,NNP
62,cabozzplus c a oplus b in a lattice ii,2,VBD
63,lattice sectionally complemented --- ii,2,JJ
64,lattice sectionally complemented modular ---,2,JJ
65,continous geometry,2,NN
66,von Neumann J ,2,NN
67,Maeda F ,2,NNP
68,perspectivity perspectivity sim ,2,NN
69,Iwamura T ,2,NNP
70,Harding J ,2,NNP
71,Janowitz M F ,2,NNP
72,projectivity projectivity approx ,2,NN
73,normal equivalence,2,NN
74,Wehrung F ,2,NNP
75,dimension monoid,2,NN
76,dzzimL Dim L ,2,NN
77,Halperin I ,2,NNP
78,W -algebra,2,NNP
79,AW -algebra ii,2,NNP
80,Kaplansky I ,2,NNP
81,Murray F J ,2,NNP
82,factor W - ii,2,JJ
83,Wright F B ,2,NNP
84,lattice sectionally complemented ---,2,NN
85,Maeda S ,2,NNP
86,Loomis L H ,2,NNP
87,Fillmore P A ,2,NNP
88,lattice partial ---,2,JJ
89,continuous dimension scale,2,NN
90,Lin H ,2,NNP
91,Zzzgamma ZZ gamma ii,2,NNP
92,Rzzgamma RR gamma ii,2,NNP
93,Tzzgamma two gamma ii,2,NNP
94,hyperstonian,2,JJ
95,D-universal,2,NNP
96,espalier Boolean ---,2,NN
97,unczzqsup sqcup bigsqcup ii,2,NN
98,ozzmega omega ii,2,IN
99,coinitial subset ii,2,NN
100,dense ii,2,NN
101,antichain ii,2,NN
102,interval topology ii,2,NN
103,Birkhoff G ,2,NNP
104,Frink O ,2,NNP
105,gzzplus G ii,2,NN
106,nzzn NN ii,2,RB
107,partially ordered abelian group directed --- ii,2,JJ
108,interpolation property ii,2,JJ
109,partially ordered abelian group Dedekind complete --- ii,2,JJ
110,Nzzh Nh Omega x ii,2,NNP
111,interior ii,2,NN
112,Xzzinterior overset circ,2,NNP
113,closure ii,2,NN
114,Xzzclosure ol X,2,NNP
115,semicontinuous lower --- ii,2,JJ
116,semicontinuous upper --- ii,2,JJ
117,extremally disconnected ii,2,NN
118,Stone space ii,2,NNP
119,partial commutative monoid ii,2,NN
120,algebraic preordering ii,2,VBD
121,order-unit ii,2,JJ
122,lower embedding ii,2,NN
123,Szzbul Sbul ii,2,NNP
124,abzzzlp a blp b ii,2,VBZ
125,refinement monoid partial ---,2,JJ
126,refinement monoid ii,2,NN
127,lower embedding,2,VBG
128,SzzRef Ref S ii,2,NNP
129,stczzonc s conc t ii,2,NN
130,refinement monoid,2,NN
131,conical prm ii,2,NN
132,cancellative ii,2,NN
133,ideal of a prm ii,2,NN
134,orthogonal elements ii,2,NN
135,abozzrthab a perp b ii,2,JJ
136,Xzzbot X bot ii,2,NNP
137,XzzplusY X cdots X n- ,2,NNP
138,lower embedding,2,VBG
139,projection of a prm ii,2,NN
140,direct summand of a prm ii,2,NN
141,pzzbot p bot p projection ii,2,NN
142,pzzroj BB S,2,NN
143,pzzrojst BBp S,2,NN
144,semilattice ii,2,NN
145,cabszzmsms c b sd a ii,2,NN
146,general comparability ii,2,JJ
147,lattice chopped ---,2,JJ
148,pseudo-cancellation property ii,2,JJ
149,separative pcm ii,2,NN
150,cancellable element ii,2,NN
151,stably finite ii,2,NN
152,Szzfin S fin ii,2,NNP
153,abzzvaleb bv a leq b,2,VBZ
154,refinement monoid Boolean-valued partial --- ii,2,JJ
155,abzzvaeqb bv a b,2,NN
156,removable in prm s ii,2,NN
157,abrzzem a rem b ii,2,JJ
158,SzzDI DI S,2,NNP
159,refinement monoid Boolean-valued partial ---,2,NN
160,central cover ii,2,NN
161,czzca cc a ii,2,NN
162,adzzi di a,2,IN
163,cabszzmsms c b-a ii,2,JJ
164,continuous dimension scale ii,2,JJ
165,mzzonesix M -- ii,2,JJ
166,nzzonethree N -- ii,2,JJ
167,partial commutative monoid,2,NN
168,direct product of pcm s ii,2,NN
169,absolute statement function ii,2,NN
170,definable function ii,2,NN
171,cancellable element ,2,NN
172,Bigard A ,2,NNP
173,Keimel K ,2,NNP
174,Wolfenstein S ,2,NNP
175,polar subset ii,2,NN
176,cancellative,2,JJ
177,Nakano H ,2,NNP
178,Stone M H ,2,NNP
179,Halmos P R ,2,NNP
180,Ozzn On ii,2,NNP
181,Zzzinfty ZZ infty ii,2,NNP
182,Rzzinfty RR infty ii,2,NNP
183,Tzzinfty two infty ii,2,NNP
184,fgbzzvvfg vbv f leq g,2,NN
185,dense,2,NN
186,pkszzcal scal p,2,NN
187,pzzscalalp scal p,2,NN
188,Lzzambdap Lambda p ii,2,NNP
189,Uzz x U x ,2,NNP
190,mzzu x mu x fa ii,2,NN
191,antichain,2,NN
192,multiple-free element ii,2,JJ
193,Szzmf S mf ii,2,NNP
194,Czzfin CC fin,2,NNP
195,stably finite,2,JJ
196,Stone space,2,NNP
197,Bernau S J ,2,NNP
198,Anderson M ,2,NNP
199,Feil T ,2,NNP
200,finitary unit ii,2,NN
201,dzzelta x delta x fa ii,2,NN
202,Type I II III continuous dimension scale ii,2,NNP
203,Szzbar ol S,2,NNP
204,ezzpsilon eps canonical S to ol S,2,VBZ
205,czzhi p chi p p projection ii,2,JJ
206,czzhi p alp alpha cdot chi p ii,2,NN
207,Zzzinfty ZZ infty ,2,NNP
208,Rzzinfty RR infty ,2,NNP
209,Tzzinfty two infty ,2,NNP
210,proper classes,2,VBZ
211,NzzSIR NSIR ii,2,NNP
212,Monoid monoid that might be a proper class ii,2,NNP
213,Partial Commutative Monoid possibly a proper class ii,2,NNP
214,Continuous Dimension Scale continuous dimension scale that might be a proper class ii,2,NNP
215,Mzzh Mh ii,2,NNP
216,Mzzl Ml ii,2,NNP
217,Partial Commutative Monoid possibly a proper class ,2,NNP
218,Continuous Dimension Scale continuous dimension scale that might be a proper class ,2,NNP
219,Monoid monoid that might be a proper class ,2,NNP
220,espalier ii,2,VBD
221,Lzzoneeight L -- ii,2,NNP
222,unrestrictedly refining relation ii,2,JJ
223,unrestrictedly additive --- relation ii,2,JJ
224,parallelogram rule ii,2,JJ
225,espalier bounded --- ii,2,JJ
226,espalier lower sub --- ii,2,JJ
227,Gr atzer G ,2,NNP
228,lattice relatively complemented ---,2,NN
229,abzzlesssim a lesssim b in espaliers ii,2,NN
230,dzzelta DD a ii,2,NN
231,dimension range ii,2,NN
232,Dzzrng Drng L ,2,NNP
233,cabzzabplusb c a boxplus b ii,2,VBZ
234,lattice cardinal ---,2,JJ
235,strongly orthogonal family ii,2,JJ
236,pzzcdota p cdot a ii,2,NN
237,purely infinite idem-multiple ii,2,JJ
238,homogeneous ii,2,NN
239,abbtzzrim a trim b ii,2,NN
240,trim sequence ii,2,NN
241,removable in espaliers ii,2,NN
242,abrszzem a srem b ii,2,IN
243,D-universal ii,2,NNP
244,espalier lower sub ---,2,JJ
245,Dzzrnggf Drng varphi ,2,NNP
246,espalier Boolean --- ii,2,JJ
247,lattice Boolean ---,2,JJ
248,bzzzerotwo B -- ii,2,JJ
249,espalier Boolean pre --- ii,2,JJ
250,Jech T ,2,NNP
251,xzzsim y x sim y ii,2,NNP
252,espalier --- closure,2,JJ
253,SzSI SS I ii,2,NNP
254,espalier Boolean pre ---,2,NN
255,wzzdt wdt B ii,2,NN
256,szzupp supp x ii,2,NN
257,VzzVB V B ,2,NNP
258,Bzzo Bo ii,2,NNP
259,random algebra ii,2,NN
260,bzzlo lBo ii,2,NN
261,Czzo Co ii,2,NNP
262,Cohen algebra ii,2,NNP
263,czzlo lCo ii,2,VBD
264,lattice complemented ---,2,JJ
265,lattice relatively complemented --- ii,2,JJ
266,lattice join-continuous --- ii,2,JJ
267,lattice continuous --- ii,2,JJ
268,Gierz G ,2,NNP
269,Hofmann K H ,2,NNP
270,Lawson J D ,2,NNP
271,Mislove M ,2,NNP
272,Scott D S ,2,NNP
273,lattice Scott-continuous ---,2,JJ
274,continous geometry ii,2,NN
275,dimension monoid ii,2,NN
276,dzzimL Dim L ii,2,NN
277,dzzeltab DD a b ii,2,JJ
278,lattice modular ---,2,JJ
279,bi-perspectivity bi-perspectivity sim ii,2,JJ
280,projectivity by decomposition projectivity by decomposition approxeq ii,2,NN
281,perspective mapping,2,VBG
282,bi-perspectivity bi-perspectivity sim ,2,JJ
283,ring right continuous regular --- ii,2,JJ
284,Lzzat Lat R ii,2,NNP
285,VzzofR V R ,2,NNP
286,ring Von Neumann regular ---,2,JJ
287,MzzodR ModR ii,2,NNP
288,azzddA addA ii,2,NN
289,kzzcdotA kappa cdot A ii,2,NN
290,ABzzlesssimB A lesssim B for modules ii,2,NNP
291,BrzzB rB R ii,2,NNP
292,directly finite,2,NN
293,NzzSIR NSIR ,2,NNP
294,Lam T Y ,2,NNP
295,VzzofNSIR V NSIR ,2,NNP
296,ring maximal quotient ---,2,JJ
297,ring continuous regular ---,2,JJ
298,lattice continuous ---,2,JJ
299,ring maximal right quotient ---,2,JJ
300,ring right and left self-injective ---,2,JJ
301,dimension range,2,NN
302,Dixmier J ,2,NNP
303,Kadison R V ,2,NNP
304,Ringrose J R ,2,NNP
305,Li B -R ,2,NNP
306,Sakai S ,2,NNP
307,Berberian S K ,2,NNP
308,W -algebra ii,2,NNP
309,azznr annr S ii,2,NN
