word,n_gram_score,pos,frequency,tf_idf,inf,source
free,2,JJ,100,0.0890845254939,-0.0182816189324,1
matrix,2,NN,62,0.0552324058062,-0.0135752845809,1
unitary,2,JJ,42,0.0374155007074,-0.0104328064,1
follows,2,VBZ,40,0.0356338101976,-0.0100835496217,1
matrices,2,NNS,38,0.0338521196877,-0.00972672958413,1
circular,2,JJ,37,0.0329612744327,-0.00954536048346,1
Theorem,2,NNP,34,0.0302887386679,-0.00898876169574,1
pencil,2,NN,33,0.029397893413,-0.00879886456913,1
polynomials,2,NNS,28,0.0249436671383,-0.00781350484938,1
convex,2,NN,27,0.0240528218834,-0.00760868578155,1
free circular,10,JJ,27,0.0240528218834,-0.00760868578155,1
Hence,2,NNP,25,0.0222711313735,-0.00719053783587,1
linear,2,JJ,25,0.0222711313735,-0.00719053783587,1
theorem,2,NN,24,0.0213802861185,-0.00697698478847,1
exists,2,VBZ,23,0.0204894408636,-0.00676028078477,1
Lemma,2,NNP,22,0.0195985956087,-0.00654028874204,1
direct,2,JJ,21,0.0187077503537,-0.00631685910315,1
equation,2,NN,21,0.0187077503537,-0.00631685910315,1
invariant,2,JJ,21,0.0187077503537,-0.00631685910315,1
positive,2,JJ,21,0.0187077503537,-0.00631685910315,1
subspace,2,NN,21,0.0187077503537,-0.00631685910315,1
spectrahedron,2,NN,20,0.0178169050988,-0.00608982805195,1
denote,2,NN,19,0.0169260598438,-0.00585901537112,1
closed,2,VBD,18,0.0160352145889,-0.00562422184802,1
operator,2,NN,18,0.0160352145889,-0.00562422184802,1
block,2,NN,17,0.015144369334,-0.00538522610281,1
conjugation,2,NN,17,0.015144369334,-0.00538522610281,1
cross,2,NN,17,0.015144369334,-0.00538522610281,1
entries,2,NNS,17,0.015144369334,-0.00538522610281,1
Math,2,NNP,16,0.014253524079,-0.00514178066816,1
Proposition,2,NNP,16,0.014253524079,-0.00514178066816,1
coordinate,2,NN,16,0.014253524079,-0.00514178066816,1
respect,2,NN,16,0.014253524079,-0.00514178066816,1
terms,2,NNS,16,0.014253524079,-0.00514178066816,1
