,word,clusters
0,column,"Conclusion, Pooling, color, column, commonly, concluded, consumes, pooled column, solving"
1,methods,"Author, Methods, exceeds, method, methods, methods DBLP, methods vary, network, vectors"
2,accuracy,"accuracy, accurately, actually, higher accuracy, lower accuracy"
3,layer,"GAP layer, Layers, camera, cluster, gallery, larger, latter, layer, layers, linear, lower, major, paper"
4,performance,"Performance, final performance, goes forward, higher performance, outperforms PAR, performance, performance boost, performance drops, performance lead, performance turns, prior commonly, stable performance"
5,training,"PCB training, Training, convincing, halving, minimizing, re-ranking, trainable weight, training, training PCB, utilizing"
6,mechanism,"Mechanism, mechanism, mechanisms"
7,model,"Google, IDE model, KLFDA, Models, PCB model, R-FCN, SVDNet, Sydney, added, boxes, ideal, level, merit, mode, model, models, width"
8,datasets,"SettingsDatasets, advantages, database, dataset, dataset contains, datasets, datasets bias, datasets increases, manifests, packages, re-ID datasets, variants"
9,image,"Finally, ImageNet, Impact, divide, gmail, image, images, share, simple, single, smaller, target, usage, wgsgj"
10,induction,"Discussions, Inception, Induction, Introduction, addition, condition, conducts uniform, identity, induction, induction procedure, intuition, landmark detection, reduction, w/o induction"
11,mAP,"GAN, GAP, GLAD, PAN, PAR, RPP, TITAN, WARCA, mAP, mAP DBLP"
12,respectively,"PCB especially, effectively, effectively avoids, especially, perspective, respective, respective loss, respectively"
13,attention mechanism,"Attention Mechanism, Potential Alternative, Working mechanism, attention mechanism, attention mechanisms, attention method, potential alternative"
14,convolutional,"Convolutional, conventional, convolutional, stacked convolutional"
15,deep,"Group, ReLU, Recent, ResNet, Step, adopt, cues, data, deep, deep object, deep re-ID, design, developed, driven, drops, edu, flip, group, lead, net, pieces, repeat, step, uses, viewed, whereas, yee"
16,discriminative,"description offers, descriptor consisting, discriminate, discriminative, discriminative ability, discriminative parts, higher discriminative, learning discriminative, stronger discriminative"
17,classifier,"Classifier, classifier, classifier predicts, classifierStep, classifiers, classify, identity classifiers, part-classifier"
18,feature,"architecture, capture, captured, clustered, deep features, feature, feature maps, featured, features, fine-tuned, global feature, literature, local features, measuring, platform, texture, texture features"
19,original,"canonical, critical, horizontal, original, originally, originated, preliminary"
20,pose,"CPM pose, Duke, Note, concise, cosine, cube, noisy pose, note, parse, pooled, pose, pose CPM, problem, prone, size"
21,spatial,"capture spatial, essential, larger spatial, multiscale, particular, pictorial, sequential, sharing, spatial, spatial size, spatially, splits, substantial"
