word,n_gram_score,pos,frequency,tf_idf,inf,match_count,volume_count,source
free,2,JJ,100,0.0909674657534,-0.0185065578331,68139641,3033401,1
matrix,2,NN,64,0.0582191780822,-0.0140491839645,10320779,527649,1
unitary,2,JJ,42,0.0382063356164,-0.0105855019469,905129,220821,1
follows,2,VBZ,40,0.0363869863014,-0.0102320925144,32209213,2493640,1
circular,2,JJ,38,0.0345676369863,-0.00987095996142,5956410,1186938,1
matrices,2,NNS,37,0.0336579623288,-0.00968737205822,1892339,160127,1
pencil,2,NN,33,0.0300192636986,-0.00893155665363,3873788,1009514,1
polynomials,2,NNS,28,0.025470890411,-0.0079334434009,821357,56760,1
convex,2,NN,27,0.0245612157534,-0.00772590987894,2228323,259897,1
free circular,10,JJ,27,0.0245612157534,-0.00772590987894,1458,979,1
Theorem,2,NNP,26,0.0236515410959,-0.00751551648045,4585045,101674,1
Hence,2,NNP,25,0.0227418664384,-0.00730215315691,13532930,1730329,1
linear,2,JJ,24,0.0218321917808,-0.00708570104911,11614389,730698,1
exists,2,VBZ,23,0.0209225171233,-0.00686603138464,14927472,2030476,1
j=1,2,NN,23,0.0209225171233,-0.00686603138464,,,1
denote,2,NN,22,0.0200128424658,-0.00664300418332,3371851,616498,1
direct,2,JJ,21,0.0191031678082,-0.00641646672688,35864859,2673541,1
equation,2,NN,21,0.0191031678082,-0.00641646672688,20764464,783993,1
invariant,2,JJ,21,0.0191031678082,-0.00641646672688,1390892,142375,1
positive,2,JJ,21,0.0191031678082,-0.00641646672688,29305049,2193038,1
subspace,2,NN,21,0.0191031678082,-0.00641646672688,477212,27271,1
1<,2,CD,20,0.0181934931507,-0.00618625173667,,,1
Lemma,2,NNP,20,0.0181934931507,-0.00618625173667,1248697,36158,1
spectrahedron,2,NN,20,0.0181934931507,-0.00618625173667,,,1
closed,2,VBD,19,0.0172838184932,-0.00595217518619,24233813,2510148,1
block,2,NN,18,0.0163741438356,-0.00571403365215,14329181,1901324,1
cross,2,NN,18,0.0163741438356,-0.00571403365215,26295875,2565943,1
operator,2,NN,18,0.0163741438356,-0.00571403365215,7349983,786190,1
conjugation,2,NN,17,0.0154644691781,-0.00547160107547,535568,87107,1
entries,2,NNS,17,0.0154644691781,-0.00547160107547,4275208,723426,1
Math,2,NNP,16,0.0145547945205,-0.00522462475824,2182746,191492,1
coordinate,2,NN,16,0.0145547945205,-0.00522462475824,3682839,653241,1
respect,2,NN,16,0.0145547945205,-0.00522462475824,36938607,2662591,1
terms,2,NNS,16,0.0145547945205,-0.00522462475824,57978475,2675666,1
Free,2,NNP,15,0.013645119863,-0.00497282035693,68139641,3033401,1
cross terms,10,NNS,15,0.013645119863,-0.00497282035693,8600,4130,1
defining,2,VBG,15,0.013645119863,-0.00497282035693,4117729,1051328,1
proof,2,NN,15,0.013645119863,-0.00497282035693,15450745,2060173,1
contains,2,VBZ,14,0.0127354452055,-0.00471586553607,23078500,2153034,1
