,centroid,clusters
0,matrix,"Kavruk, Matrix, Parrilo, math ufl, matrices, matricial, matrix"
1,unitary,"Iwasaki, McCarthy, Primary, Putinar, Similarly, Sullivant, Unitary, boundary, editors, entirely, entry, indicate, non-unital, nuclearity, ordinary, summary, uniform, unique, unit, unit vector, unit vectors, unitaries, unitarily, unitary"
2,circular,"Circular, Corollary, bipolar, calculus, circular, corollary, formula, formulas, particular, singular, unimodular"
3,pencil,"Appendix, Berezin, Council, Francis, Manuscripta, Pencil, Recall, Tracial, exactly, generic, heavily, identify, monoid, pencil, pencils, possibly, precisely, rOpenness, subpencil, technical"
4,convex,"Convex, context, convex, convexEW, longest"
5,free circular,"Free Circular, free circular"
6,linear,"Linear, Oliveira, Reinhardt, appear, appears, bilinear, linear"
7,invariant,"Balakrishnan, Invariant, Manuscripta Math, Reinhardt domains, important, invariant, invariant free, invariants, invertible, limiting argument, matrix invariants, univariate"
8,positive,"Effros-Winkler, Fix positive, Relative, associative, consisting, effective, limiting, perspective, positive, positive maps, positivity, routine"
9,subspace,"Hilbert space, subspace, subspaces"
10,denote,"becomes, behave, degree, denote, denoted, denoting, dense, finite, identity, length, note"
11,closed,"Florida, Global, Slovenian, choose, chosen, claimed, class, closed, closely, nilpotent, ucsd edu, ufl edu"
12,operator,"Ford Motor, Klep]Igor, Operator, Paderborn, bounded operator, hyperplane, multi-operator, operator, operators, system category"
13,block,"Wittstock, block, block zero, blocks, desired block, flow, loc"
14,conjugation,"Conjugation, combinations, condition, conjugating, conjugation, consideration, motivation, nonnegative, permutation"
15,coordinate,"Accordingly, Coordinate, Coordinate Unitary, abbreviate, coordinate, coordinate unitary, subordinate"
16,cross terms,"cross term, cross terms, process terminates, proof appears, various natural"
17,proof,"Proof, proof, proof shows, proofs"
18,decomposition,"Proposition, block decomposition, decomposing, decomposition, decompositions, decompositions yields, proposition"
19,matrix convex,"Matrix Convex, Matrix Pencil, Matrix convexity, basic convex, compact convex, matrix convex, matrix convexEW, matrix convexity"
20,minimal,"Extremal, Krein-Milman, Vinnikov, William, canonical, final, initial, maximal, maximality, minimal, minimal LMI, minimal defining, minimality, monomial"
21,spectrahedra,"Spectrahedra, Spectrahedron, spectrahedra, spectrahedron"
22,unitary conjugation,"Unitary Conjugation, complex conjugation, contractive conjugation, isometric conjugation, unitary conjugation"
23,sets,"DDSS, Experts, Items, KPTT, LMIs, Math, Motor, Results, SIAM, Sets, Stud, acts, authors, cit, deg, ease, easy, edu, etc, exist, exists, exits, exp, int, itA, itWA, j-th, letters, lies, loss, onto, plays, rests, results, self, sets, setup, shows, skip, steps, surveys, systems, vectors"
24,variables,"Grigoriadis, Variables, Voiculescu, classical examples, free variables, multivariable, satisfies, vanishes, variable, variables, various"
25,balanced,"Advanced, Hahn-Banach, Royal Society, Zealand, balanced, balanced implies, balanced subset, bounded, math ucsd"
26,linear pencil,"Linear Control, Research Agency, defining pencil, linear mapping, linear pencil, linear pencils, linear system"
27,matrix balanced,"matrix algebras, matrix balanced"
28,positive integers,"described entirely, nonnegative numbers, positive integer, positive integers"
29,sums,"Duals, Eur, Func, Fund, Ruan, Ruan's, Thomas, bound, column, comes, numbers, occurs, runs, sam, study, sum, sums, turns, ucsd, usual"
30,tuple,"Applied, Guide, bluepurple, fixed tuple, g-tuple, g-tuples, multiple, tuple, tuples"
31,unitarily equivalent,"unitarily equivalent, unitary equivalence"
32,theorem,"Furthermore, Ghaoui, Theorem, Theorem BVM, Theory, Todorov, j-th column, j-th entry, main theorem, major theme, phenomena, theme, theorem, theorems, theory, trace norm"
33,zero,"Amer, Diego, Effros, Evert, Feron, Hilbert, Marx, Mono-, Proc, equal zero, nonzero, term, zero, zero column, zero shows, zeros"
34,prove,"Free, Moreover, free, problems, process, proper, prove, prove item, proved, provide"
35,section,"Design, Helton, Helton]J, Section, Skelton, Society Mono-, Subsection, acting, assumption, attention, collection, dimension, direction, effective version, fashion, location, relaxation, section, solution, solution sets, solutions, spectrum, structure, subsection, vector, version"
36,direct sum,"direct, direct proof, direct sum, direct sums"
37,hence,"Agency, Farenick, Funct, Hence, Science, choice, except, existence, hence"
38,subset,"Marsden, Paulsen, Webster, discussed, subset, subsets"
39,Finally,"Clearly, Finally, finally, signal flow"
40,circular matrix,"Circular Matrix, Linear Matrix, circular analog, circular domains, circular hypothesis, circular matrix, circular symmetry, column matrix, linear matrix"
41,commutative,"Free Noncommutative, Noncommutative, commutative, commutative cross, noncommutative"
42,convexity,"Convex Sets, University, continuity, converging, convex sets, convexity, convexity DDSS, convexity approach, convexity phenomena, free convexity, homogeneity, non-empty"
43,free polynomials,"Free Polynomials, free polynomial, free polynomials, linear polynomial, matrix polynomial, matrix polynomials, term monomials"
44,free spectrahedra,"Free Spectrahedra, Free Spectrahedron, Free spectrahedra, free spectrahedra, free spectrahedron, investigates spectrahedra"
