,centroid,clusters
0,energy,"Clearly, Energy, benefit, binary, bosonenergy, emerge, emerged, emerges, energies, energy, energy', energytime, entering, entity, evenly, generous, henceforth, nearby, query, tendency, withenergy"
1,negative,"Inegative, Mnegative, Negative, Tnegative, examine, imperative, intuitive, kinematic, lawnegative, legitimacy, legitimate, legitimize, massnegative, mythsnegative, narrative, negative, negatively, nnnegative, ofnegative, perceive, quantitative, relative, seenegative, speculative, tentative, tentatively, thenegative, withnegative, withtime"
2,gravitational,"Gravitation, Gravitational, Mgravitational, Non-gravitational, computational, gravitating, gravitation, gravitation appear, gravitation based, gravitation spin, gravitational, gravitationally, gravitationinertial, gravitationlocal, gravitationphysical, gravitationquantum, gravitationuniversal, massgravitational, non-gravitational, voidsgravitational, withgravitational"
3,symmetry,"PTC symmetry, Summary, asymmetry, geometry, summary, symmetry, symmetry weak, time-asymmetry"
4,mass,"BH/A, Casimir, Hans, IPTC, Mach's, Mass, add, bang, basic, basis, bypass, class, easy, emits, facts, fast, gas, gmail, grasp, guess, laws, loss, mG/c, main, major, makes, map, maps, mass, mass', masses, massive, masslocal, maybe, meant, meson, mesons, mess, myths, past, plus, rays, task, test, utmost, vanish, vast, ways"
5,negative energy,"Inegative energy, Mnegative energy, Negative Energy, Negative energy, Tnegative energy, negative energy, negative kinetic, negative massgeneral, negative stress-energy, nnnegative energy, ofnegative energy"
6,particles,"partially, particle, particle', particle's, particles, particles'"
7,positive energy,"positive confirms, positive energies, positive energy, positive stress-energy, positive thermal"
8,associated,"Associated, associate, associated, associating, association, dissociate, enunciated, mass located"
9,vacuum,"vacuum, vacuums, withvacuum"
10,viewpoint,"standpoint, turning points, viewpoint, viewpoints, zero-point"
11,reversal,"Reversal, area equal, net overall, reversal, reversals, traversable"
12,freedom,"freedom, freedomtime"
13,opposite,"Opposite, composite, opposite, oppositely, opposition"
14,gravitational field,"Gravitational field, gravitational effect, gravitational field, gravitational fieldblack, gravitational fieldlocal, gravitational fieldquantum, gravitational fields"
15,physical,"classical, massphysical, metaphysical, physical, physically, physicist, physicists, physics, practical, typical, unphysical"
16,definition,"Bekenstein, decomposition, defined low, defined sign, definition, definitions, degradation, derivation, derivations, description, destination, diminution, perception, precondition, recognition, redefinition, seecondition"
17,inertial,"appraisal, celestial, fixed spatial, forceinertial, identical, individual, inertia, inertial, inferring, initial, initially, intermediary, interval, inverting, kinetic, lawinertial, massinertial, neutral, nickner gmail, non-trivial, perpetual, rising tidal, theinertial, theoretical, timelocal, unequivocal, unnatural, unusual, vertical, virtual"
18,discrete,"Cdiscrete, Discrete, Idiscrete, Mdiscrete, Pdiscrete, Tdiscrete, areadiscrete, basic discrete, dictate, dictates, disagreement, discarded, discern, discover, discovered, discovery, discrepancy, discrete, disorder, disperse, disprove, disrupt current, fielddiscrete, holediscrete, massdiscrete, ofdiscrete, spins oriented, widespread"
19,momentum,"momentum, momentum sign, momentumtime"
20,relational definition,"contradictory definition, fundamental definition, meaningful definition, mechanical definition, relational definition, relational definitionblack, relational definitionconstraint, relational determination, relational explanation, traditional definition"
21,interaction,"alteration, alterations, attraction, attractions, chosen action, denote action, disintegration, information, integration, interacting, interaction, interactions, interactiontime, interruption, intervalstime, involve action, science fiction, single action, subtraction, withinteraction"
22,degrees,"decreases, decree, degree, degrees, diagrams, disagrees, progress, vertexes"
23,direction degree,"direction degree, direction degrees, direction precisely, direction related, direction singled, direction space, directions indicate, time-direction degree"
24,negative mass,"lawnegative mass, massnegative mass, negative mass, negative masses"
25,relativistic theory,"Relativity theory, relativistic equations, relativistic theory, relativistic theorytime, relativistic viewpoint, relativistically, relativity theory"
26,reversed,"C-reversed, M-reversed, T-reversed, altered, draw based, generated, governed, non-reversed, perversely, refers, released, remember, repelled, reported, revealed, reverse, reversed, reversed mass, reverses, revised, severe, time-reverse, time-reversed, travelled, traverse, traversed, zero everywhere"
27,absence,"Hence, absence, absent, absorb, absorbed, advances, audience, essence, mass cancel, non-sense, nonsense, observe, observer, obstacle, presence, science, sciences, total absence, viable model"
