word,pos,frequency
corners,NNS,511
ij,NN,316
Let,NNP,244
1-morphisms,JJ,221
d-orbifold,JJ,219
d-manifold,JJ,211
ij ij,NA,207
open,JJ,196
vector,NN,194
1-morphism,JJ,178
morphism,NN,149
virtual,JJ,137
also,RB,132
Theorem,NNP,131
orbifold,JJ,131
equivalence,NN,130
boundary,JJ,125
manifolds,NNS,123
2-morphisms,JJ,120
vector bundle,NA,114
Define,NNP,113
group,NN,113
Suppose,NNP,111
orbifolds,NNS,110
Deligne--Mumford,NNP,107
products,NNS,106
d-manifolds,JJ,104
isomorphism,NN,101
following,VBG,99
space,NN,99
d-orbifolds,NNS,95
natural,JJ,95
2-category,JJ,89
fibre,NN,89
smooth,JJ,89
bundle,JJ,88
call,NN,88
unique,JJ,86
d-spaces,NNS,85
spaces,NNS,85
d-manifolds,NNS,83
Definition,NNP,82
flat,JJ,82
maps,NNS,81
1-morphism,CD,80
1em,CD,80
equivalent,JJ,80
representable,JJ,78
category,NN,77
fibre products,NA,77
locally,RB,77
geometry,NN,76
conditions,NNS,75
define,JJ,74
define,NN,73
may,MD,72
principal,JJ,72
simple,JJ,72
exist,VBP,71
model,NN,71
bundles,NNS,70
d-stacks,NNS,70
product,NN,70
d-orbifolds,JJ,68
topological,JJ,68
Write,NNP,67
manifold,VBD,67
d-stack,JJ,66
orientation,NN,66
2-morphism,JJ,65
objects,NNS,65
vector bundles,NA,65
ij,JJ,64
orbifold strata,NA,64
injective,JJ,63
Kuranishi,NNP,61
cotangent,NN,61
d-space,JJ,60
orbifold,VBD,59
fibre product,NA,58
manifold,JJ,58
fibre,JJ,57
finite group,NA,57
jk,NN,57
line,NN,57
d-manifolds corners,NA,56
d-space,NN,56
full,JJ,56
without,IN,56
bundle,NN,55
finite,JJ,55
Example,NNP,54
1',CD,52
1-morphism,NN,52
1em 1em,NA,52
class,NN,52
effective,JJ,52
manifolds corners,NA,52
Proposition,NNP,51
oriented,VBN,50
exists,VBZ,49
topological space,NA,49
morphisms,NNS,48
functor,NN,47
gives,VBZ,47
manifold corners,NA,47
sense,NN,47
bordism,NN,46
sheaf,NN,46
theory,NN,46
Let,VB,45
compact,JJ,45
point,NN,45
without boundary,NA,45
closed,VBD,44
quotient,JJ,44
d-manifold corners,NA,43
d-orbifolds corners,NA,43
embedding,VBG,43
given,VBN,43
sheaves,NNS,43
smooth map,NA,43
classes,NNS,42
derived,VBD,42
virtual vector,NA,42
dimension,NN,41
exists,NNS,41
surjective,JJ,41
equivalences,NNS,40
line bundle,NA,40
Hence,NNP,39
d-orbifold corners,NA,39
defined,VBD,39
exact,JJ,39
manifold,NN,39
strongly,RB,39
write,JJ,39
d-stack,NN,38
ij jk,NA,38
section,NN,38
set,VBN,38
submersion,NN,38
coordinate,NN,37
near,IN,37
orbifold corners,NA,37
points,NNS,37
strict,JJ,37
2-isomorphism,JJ,36
algebraic,JJ,36
groups,NNS,36
orbifolds corners,NA,36
semisimple,JJ,36
using,VBG,36
algebraic geometry,NA,35
simple flat,NA,35
two,CD,35
data,NNS,34
good,JJ,34
ijk,NN,34
respectively,RB,34
strata,NN,34
structure,NN,34
zero,CD,34
1-,JJ,33
fixed,VBN,33
general,JJ,33
one,CD,33
orbifold,NN,33
2-subcategory,JJ,32
diagram,NN,32
open closed,NA,32
rather,RB,32
second,JJ,32
Thus,NNP,31
d-space corners,NA,31
d-spaces corners,NA,31
extra,JJ,31
functors,NNS,31
local,JJ,31
map,NN,31
obstruction,NN,31
orientations,NNS,31
smooth maps,NA,31
symplectic,JJ,31
y',NN,31
called,VBD,30
called,VBN,30
embeddings,NNS,30
example,NN,30
oriented,VBD,30
semisimple flat,NA,30
x',NNP,30
Also,RB,29
abelian,JJ,29
action,NN,29
d-stack corners,NA,29
discussed,VBD,29
fair,JJ,29
1-morphism|,JJ,28
2-functor,JJ,28
ik,NN,28
invariants,NNS,28
Fukaya,NNP,27
analogue,NN,27
categories,NNS,27
dB,NN,27
immersion,NN,27
map,JJ,27
sequence,NN,27
y' y',NA,27
Kuranishi spaces,NA,26
Math,NNP,26
countable,JJ,26
define,VBP,26
different,JJ,26
form,NN,26
homology,NN,26
inclusion,NN,26
orbifold,VBP,26
satisfying,VBG,26
square,NN,26
topology,NN,26
transverse,JJ,26
1-morphisms 2-morphisms,NA,25
corresponding,VBG,25
derived,VBN,25
holds,VBZ,25
i],NN,25
n-k,JJ,25
objects,VBZ,25
results,NNS,25
second countable,NA,25
sf-embedding,JJ,25
way,NN,25
1-morphisms|,JJ,24
compact oriented,NA,24
defines,VBZ,24
f=,NN,24
ii,NN,24
immersions,NNS,24
notation,NN,24
properties,NNS,24
submersions,NNS,24
virtual cotangent,NA,24
whose,WP$,24
analogue Theorem,NA,23
canonical,JJ,23
composition,NN,23
d-stacks corners,NA,23
define,VB,23
full 2-subcategory,NA,23
good coordinate,NA,23
jk ij,NA,23
moduli,NN,23
moduli spaces,NA,23
morphism vector,NA,23
principal d-manifold,NA,23
strata,JJ,23
strongly representable,NA,23
4]Joyc6,CD,22
One,CD,22
definition,NN,22
differential,JJ,22
functorial,JJ,22
geometric,JJ,22
locally fair,NA,22
