word,n_gram_score,pos,frequency,tf_idf,inf,source
facets,2,NNS,163,0.0556884181756,-0.0136485069398,1
simple,2,JJ,163,0.0556884181756,-0.0136485069398,1
polytope,2,NN,129,0.0440724291083,-0.0116765487846,1
flag,2,NN,67,0.0228903313973,-0.00733718312821,1
adjacent,2,JJ,66,0.0225486846601,-0.00725644912738,1
edge,2,NN,59,0.0201571574991,-0.00667861642882,1
obtain,2,VB,57,0.0194738640246,-0.00650921581876,1
combinatorial,2,JJ,50,0.0170823368637,-0.00589978781792,1
complex,2,JJ,50,0.0170823368637,-0.00589978781792,1
edges,2,NNS,50,0.0170823368637,-0.00589978781792,1
Fig,2,NNP,49,0.0167406901264,-0.00581049382279,1
Lemma,2,NNP,45,0.0153741031773,-0.0054472744033,1
hence,2,NN,45,0.0153741031773,-0.0054472744033,1
pentagons,2,NNS,45,0.0153741031773,-0.0054472744033,1
facet,2,NN,44,0.01503245644,-0.00535489294636,1
vertices,2,NNS,41,0.0140075162282,-0.00507373251186,1
combinatorially,2,RB,39,0.0133242227537,-0.00488278276594,1
cellular,2,JJ,36,0.0122992825419,-0.00459073038129,1
mapping,2,NN,36,0.0122992825419,-0.00459073038129,1
orientation,2,NN,36,0.0122992825419,-0.00459073038129,1
polytopes,2,NNS,36,0.0122992825419,-0.00459073038129,1
vertex,2,NN,35,0.0119576358046,-0.00449179727228,1
Consider,2,NNP,34,0.0116159890673,-0.00439203566051,1
fullerenes,2,NNS,34,0.0116159890673,-0.00439203566051,1
defined,2,VBD,33,0.01127434233,-0.00429142117134,1
Exercise,2,NNP,32,0.0109326955928,-0.00418992795219,1
boundary,2,JJ,32,0.0109326955928,-0.00418992795219,1
gives,2,VBZ,31,0.0105910488555,-0.00408752853395,1
isomorphism,2,NN,31,0.0105910488555,-0.00408752853395,1
mapping,2,VBG,31,0.0105910488555,-0.00408752853395,1
basis,2,NN,30,0.0102494021182,-0.00398419367439,1
components,2,NNS,29,0.00990775538094,-0.00387989218077,1
fullerene,2,NN,29,0.00990775538094,-0.00387989218077,1
simple,2,NN,29,0.00990775538094,-0.00387989218077,1
canonical,2,JJ,28,0.00956610864366,-0.00377459070789,1
cohomology,2,NN,28,0.00956610864366,-0.00377459070789,1
connected,2,VBN,28,0.00956610864366,-0.00377459070789,1
corresponding,2,VBG,28,0.00956610864366,-0.00377459070789,1
equivalent,2,JJ,28,0.00956610864366,-0.00377459070789,1
simple polytope,10,NN,28,0.00956610864366,-0.00377459070789,1
simplicial,2,JJ,28,0.00956610864366,-0.00377459070789,1
structure,2,NN,28,0.00956610864366,-0.00377459070789,1
cycle,2,NN,27,0.00922446190639,-0.00366825352725,1
space,2,NN,27,0.00922446190639,-0.00366825352725,1
Proposition,2,NNP,26,0.00888281516912,-0.00356084226208,1
Theorem,2,NNP,26,0.00888281516912,-0.00356084226208,1
connected,2,VBD,26,0.00888281516912,-0.00356084226208,1
connected components,10,NNS,26,0.00888281516912,-0.00356084226208,1
k-belt,2,JJ,26,0.00888281516912,-0.00356084226208,1
straightening,2,VBG,26,0.00888281516912,-0.00356084226208,1
operation,2,NN,25,0.00854116843184,-0.00345231558142,1
path,2,NN,25,0.00854116843184,-0.00345231558142,1
facet,2,JJ,24,0.00819952169457,-0.00334262884528,1
sequence,2,NN,24,0.00819952169457,-0.00334262884528,1
Hence,2,NNP,23,0.00785787495729,-0.00323173369059,1
