word,n_gram_score,pos,frequency,wordCount,match_count,volume_count,source
energy,2,NN,3096,145045,43507422,2246600,1
negative,2,JJ,1757,145045,23210294,1900108,1
positive,2,JJ,1162,145045,29305049,2193038,1
gravitational,2,JJ,1003,145045,1074269,152691,1
symmetry,2,NN,994,145045,3025452,545690,1
operations,2,NNS,902,145045,21201112,1717610,1
symmetry operations,10,NNS,830,145045,24574,3932,1
mass,2,NN,811,145045,28320538,2217498,1
direction,2,NN,768,145045,35209323,2751897,1
negative energy,10,JJ,642,145045,67987,26954,1
particles,2,NNS,595,145045,9598334,669762,1
sign,2,NN,550,145045,22190260,2519482,1
field,2,NN,534,145045,56378657,2789005,1
hole,2,NN,527,145045,10301257,1568842,1
particle,2,NN,485,145045,6153014,530364,1
space,2,NN,397,145045,43438953,2689333,1
action,2,NN,393,145045,69386557,2720115,1
positive energy,10,NN,385,145045,60277,30217,1
theory,2,NN,339,145045,45553601,2130931,1
associated,2,VBN,312,145045,33112842,2133298,1
vacuum,2,NN,302,145045,3992865,811305,1
viewpoint,2,NN,302,145045,2569022,785196,1
reversal,2,NN,297,145045,2154170,693055,1
freedom,2,NN,273,145045,24789145,2208057,1
effectively,2,RB,269,145045,9076396,1604590,1
degree,2,NN,268,145045,37796807,2636136,1
opposite,2,JJ,265,145045,19750828,2506179,1
gravitational field,10,NN,264,145045,165366,37147,1
physical,2,JJ,263,145045,39690498,2431919,1
definition,2,NN,253,145045,18359573,1720397,1
inertial,2,JJ,243,145045,435328,58707,1
actually,2,RB,241,145045,32871581,2693839,1
distribution,2,NN,241,145045,27847053,1683493,1
relational,2,JJ,230,145045,1490722,185458,1
equivalent,2,JJ,224,145045,13752172,1772476,1
negative energy,10,NN,224,145045,67987,26954,1
discrete,2,JJ,218,145045,2851327,511526,1
considered,2,VBN,208,145045,50372538,2844997,1
operation,2,NN,204,145045,28773135,2120297,1
relativistic,2,JJ,204,145045,392493,69548,1
gravitation,2,NN,202,145045,614646,185356,1
momentum,2,NN,196,145045,3581793,713047,1
relational definition,10,NN,196,145045,1403,991,1
interaction,2,NN,191,145045,11239209,963684,1
event,2,NN,190,145045,23370904,2339758,1
charge,2,NN,188,145045,28291891,2430563,1
intervals,2,NNS,186,145045,7195556,1452886,1
relative,2,JJ,176,145045,23994871,2236323,1
degrees,2,NNS,174,145045,12841325,1974716,1
hole,2,JJ,170,145045,10301257,1568842,1
presence,2,NN,165,145045,34494875,2602937,1
direction degree,10,JJ,162,145045,51,48,1
negative mass,10,NN,162,145045,5568,2842,1
merely,2,RB,161,145045,28861178,2392807,1
elementary,2,JJ,159,145045,6380059,1101723,1
relativistic theory,10,NN,159,145045,9167,3976,1
voids,2,NNS,157,145045,387338,107459,1
propagation,2,NN,156,145045,2197822,396962,1
reversed,2,VBD,156,145045,4080368,1237964,1
absence,2,NN,149,145045,17694622,2253282,1
bodies,2,NNS,149,145045,18332308,2139288,1
reversal,2,VBP,149,145045,2154170,693055,1
discrete symmetry,10,NN,148,145045,1886,769,1
positive energy,10,JJ,148,145045,60277,30217,1
acceleration,2,NN,147,145045,2737128,389794,1
assumed,2,VBD,146,145045,17743931,2265186,1
properties,2,NNS,146,145045,19132871,1360218,1
problem,2,NN,141,145045,67009534,2603932,1
horizon,2,NN,140,145045,4899143,1197474,1
local,2,JJ,139,145045,53442145,2453461,1
information,2,NN,138,145045,87865608,2876169,1
motion,2,NN,136,145045,23527139,2027427,1
consequence,2,NN,135,145045,13329938,1852792,1
unidirectional,2,JJ,134,145045,233072,84758,1
propagating,2,VBG,133,145045,496945,197111,1
principle,2,NN,130,145045,27192877,2052768,1
surface,2,NN,129,145045,48222084,2297566,1
traditional,2,JJ,127,145045,20706707,1772227,1
repulsion,2,NN,121,145045,569763,206450,1
fundamental,2,JJ,119,145045,14894383,1693733,1
parameters,2,NNS,118,145045,8330729,589339,1
equivalence,2,NN,116,145045,1221865,230623,1
microscopic,2,NN,116,145045,1867126,405017,1
context,2,NN,115,145045,17914226,1368828,1
effect,2,NN,114,145045,70500436,2820717,1
thermodynamics,2,NNS,113,145045,495341,88957,1
equations,2,NNS,110,145045,10977867,423961,1
operations space,10,VBP,109,145045,165,143,1
existence,2,NN,107,145045,28234039,2366833,1
system,2,NN,105,145045,129453118,2818527,1
universe,2,JJ,105,145045,9569453,1188902,1
charges,2,NNS,104,145045,10596336,1517599,1
despite,2,IN,102,145045,12824955,1777696,1
