,word,clusters,source
0,matrix,"Cambridge, Florida, Iwasaki, Kavruk, Manuscripta, Marx, Matrix, Parrilo, analytic, entrywise, latter, math ucsd, math ufl, matrices, matricial, matrix, monoid",1
1,unitary,"McCarthy, Primary, Putinar, Similarly, Sullivant, Unitary, boundary, editors, entirely, entry, indicate, non-unital, nuclearity, ordinary, summary, uniform, unique, unit, unit vector, unit vectors, unitaries, unitarily, unitary",1
2,circular,"Circular, bipolar, calculus, circular, formulas, particular, singular, unimodular",1
3,pencil,"Appendix, Berezin, Council, Francis, Pencil, Recall, Tracial, endow, generic, heavily, identify, pencil, pencils, possibly, precisely, rOpenness, subpencil, technical, tensor",1
4,convex,"Convex, context, convex, convexEW",1
5,free circular,"Free Circular, free circular",1
6,linear,"Linear, Oliveira, Reinhardt, William, affine linear, appear, appears, bilinear, linear",1
7,theorem,"Furthermore, Theorem, Theorem BVM, Theoremlem, Theory, Todorov, chosen, cor theorem, j-th column, j-th entry, main theorem, major theme, phenomena, theme, theorem, theorems, theory, trace norm",1
8,invariant,"Balakrishnan, Invariant, Manuscripta Math, Reinhardt domains, important, invariant, invariant free, invariants, invertible, limiting argument, matrix invariants, univariate",1
9,positive,"Effros-Winkler, Fix positive, Relative, associative, consisting, effective, limiting, perspective, positive, positive maps, positivity, routine",1
10,subspace,"Hilbert space, subspace, subspaces",1
11,denote,"denote, denoted, denoting, dense, identity, length",1
12,operator,"Ford Motor, Operator, Paderborn, bounded operator, hyperplane, multi-operator, operator, operators, system category",1
13,block,"Wittstock, block, block zero, blocks, desired block, loc",1
14,conjugation,"Conjugation, combinations, condition, conjugating, conjugation, consideration, motivation, nonnegative, permutation",1
15,coordinate,"Accordingly, Coordinate, Coordinate Unitary, London Math, Oxford Science, abbreviate, according, coordinate, coordinate unitary, flow diagrams, subordinate",1
16,cross terms,"cross term, cross terms, process terminates, proof appears, transforms, various natural",1
17,proof,"Mono-, Proc, Proof, proof, proofs",1
18,decomposition,"Proposition, block decomposition, decomposing, decomposition, decompositions, decompositions yields, proposition",1
19,matrix convex,"Matrix Convex, Matrix Pencil, Matrix convexity, basic convex, compact convex, matrix balanced, matrix convex, matrix convexEW, matrix convexity",1
20,minimal,"Extremal, Krein-Milman, Vinnikov, initial, maximal, minimal, minimal LMI, minimal defining, minimality, monomial",1
21,spectrahedra,"Spectrahedra, Spectrahedron, spectrahedra, spectrahedron",1
22,unitary conjugation,"Unitary Conjugation, complex conjugation, contractive conjugation, isometric conjugation, unitary conjugation",1
23,sets,"DDSS, Experts, Items, LMIs, Math, Results, Sets, Stud, acts, cit, closely, deg, ease, easy, edu, etc, exp, int, j-th, lies, loss, onto, plays, rests, results, self, sets, setup, skip, steps, surveys, systems, tends, terms, vectors, yields",1
24,variables,"Grigoriadis, Variables, free variables, multivariable, satisfies, standard basis, vanishes, variable, variables, various",1
25,balanced,"Advanced, Hahn-Banach, Royal Society, Zealand, analogues, balanced, balanced implies, balanced subset, bounded, claimed",1
26,linear pencil,"Linear Control, Research Agency, defining pencil, defining subpencil, linear mapping, linear pencil, linear pencils, linear system",1
27,positive integers,"described entirely, nonnegative numbers, positive integer, positive integers",1
28,section,"Design, Helton, Section, Skelton, Society Mono-, Subsection, acting, assumption, attention, collection, dimension, direction, fashion, location, relaxation, section, solution, solution sets, solutions, spectrum, structure, subsection, vector, version",1
29,sums,"Fund, occurs, runs, study, sum, sums, ucsd",1
30,tuple,"Applied, Duals, Guide, article, bluepurple, fixed tuple, g-tuple, g-tuples, multiple, tuple, tuples, turns, types",1
31,unitarily equivalent,"unitarily equivalent, unitary equivalence",1
32,McCullough,"McCullough, McCullough Scott, Scott McCullough",1
33,zero,"Diego, Effros, Evert, Feron, nonzero, zero, zero column, zeros",1
34,prove,"Moreover, problems, process, proper, prove, prove item, proved, provide",1
