,word,clusters
0,free,"Drell, Free, Freese, Frem, Green, Street, agree, f'X', free, freely"
1,matrix,"Harry-Dym, Kavruk, Matrix, Parrilo, Ratiu, hadronic, material, matricial, matrix, motivic, msri, mutatis"
2,unitary,"FuOn FOOO, Hagiwara, Library, Putinar, Solitary, Unitary, anyway, auxiliary, binary, editors, entry, finitary, solitary, unicaen, unicaen frhttp, uniform, uniformly, unital, unitaries, unitarily, unitary, unitfinitary, unwieldy"
3,free circular,"Free Circular, free circular, free convexity"
4,linear,"Eitner, Hungar, LevineTabor, Linear, LlibreZhang, Pleinlaan, Shiner, anneaux, bilinear, linear, linearly"
5,theorem,"Chelsea, Reeb orbit, Shelyuto, Theorem, Theorem BVM, Theoremlem, Theorems, Todorov, basic theorem, checked, cor theorem, helium, main theorem, phenomena, theorem, theorem lemma, theorems, theories, theorist, theorists, theory doesn't, therein, third degree, type theorem, ythere"
6,exists,"MeV PDG, Weiss, bound exists, exercises, exhaustive lists, existed, existing, exists, exists anAW, exits, f'X' exists"
7,direct,"Direct, detect, direct, directed, iidirected"
8,equation,"Equation, equation, equation KPP, equation N/u-U, equations, equations DHH"
9,invariant,"Casson invariant, G-invariant, Invariant, Pandharipande, anyway---and, contravariant, covariant, friar lanl, gauge invariance, i-invariant, inKaplansky, invariance, invariant, invariant free, invariant per, invariants, invariants coincide, invariants using, type invariants, variant"
10,positive,"Cosgrove, Fix positive, Institute, Radiative, nonpositively, pointlike, polarize, pole-like, positive, positive cone, positive maps, positively, positivity, primitive"
11,denote,"Denote, Despite, Janowitz, Malanotte, Okamoto, Rendiconti, Rep Tot, Smooth, Yennie, adequate, brief note, deff obo, denote, denotes, denoting, dense, density, depth, devote, doesn't, encode, monotone, permute, remove, scale denote, smooth"
12,closed,"Alfred, Encyclopedia, Florida, Illusie, avoided, caused, chopped, clopen, closed, closed map, closely, closest, closure, cloud, confused, cos x-C, employed, factored, hoped, iiXzzclosure, knowledge, lose, loses, poset, slope, two-step, ucsd edu"
