word,n_gram_score,pos,frequency,match_count,volume_count,source,wordCount
free,2,JJ,100,68139641,3033401,1,19083
matrix,2,NN,62,10320779,527649,1,19083
unitary,2,JJ,42,905129,220821,1,19083
follows,2,VBZ,40,32209213,2493640,1,19083
matrices,2,NNS,38,1892339,160127,1,19083
circular,2,JJ,37,5956410,1186938,1,19083
Theorem,2,NNP,34,4585045,101674,1,19083
pencil,2,NN,33,3873788,1009514,1,19083
polynomials,2,NNS,28,821357,56760,1,19083
convex,2,NN,27,2228323,259897,1,19083
free circular,10,JJ,27,1458,979,1,19083
Hence,2,NNP,25,13532930,1730329,1,19083
linear,2,JJ,25,11614389,730698,1,19083
theorem,2,NN,24,4585045,101674,1,19083
exists,2,VBZ,23,14927472,2030476,1,19083
Lemma,2,NNP,22,1248697,36158,1,19083
direct,2,JJ,21,35864859,2673541,1,19083
equation,2,NN,21,20764464,783993,1,19083
invariant,2,JJ,21,1390892,142375,1,19083
positive,2,JJ,21,29305049,2193038,1,19083
subspace,2,NN,21,477212,27271,1,19083
spectrahedron,2,NN,20,1,1,1,19083
denote,2,NN,19,3371851,616498,1,19083
closed,2,VBD,18,24233813,2510148,1,19083
operator,2,NN,18,7349983,786190,1,19083
block,2,NN,17,14329181,1901324,1,19083
conjugation,2,NN,17,535568,87107,1,19083
cross,2,NN,17,26295875,2565943,1,19083
entries,2,NNS,17,4275208,723426,1,19083
Math,2,NNP,16,2182746,191492,1,19083
Proposition,2,NNP,16,6032970,1126661,1,19083
coordinate,2,NN,16,3682839,653241,1,19083
respect,2,NN,16,36938607,2662591,1,19083
terms,2,NNS,16,57978475,2675666,1,19083
Free,2,NNP,15,68139641,3033401,1,19083
cross terms,10,NNS,15,8600,4130,1,19083
defining,2,VBG,15,4117729,1051328,1,19083
proof,2,NN,15,15450745,2060173,1,19083
decomposition,2,NN,14,2744910,322246,1,19083
free spectrahedron,10,NN,14,1,1,1,19083
particular,2,JJ,14,59016401,2841449,1,19083
polynomial,2,JJ,14,1756293,84154,1,19083
chain,2,NN,13,12843666,1881556,1,19083
contains,2,VBZ,13,23078500,2153034,1,19083
coordinate unitary,10,JJ,13,1,1,1,19083
matrix,2,VBP,13,10320779,527649,1,19083
matrix convex,10,NN,13,1,1,1,19083
minimal,2,JJ,13,4371119,937319,1,19083
monic,2,JJ,13,44323,8954,1,19083
size,2,NN,13,43541256,2647336,1,19083
spectrahedra,2,NN,13,1,1,1,19083
unitary conjugation,10,NN,13,1,1,1,19083
boundary,2,JJ,12,9091449,1081373,1,19083
convex sets,10,NNS,12,27597,5399,1,19083
matrix polynomials,10,NNS,12,2422,669,1,19083
sets,2,NNS,12,14297172,2215002,1,19083
Suppose,2,NNP,11,17334126,1877454,1,19083
circular,2,NN,11,5956410,1186938,1,19083
convex,2,JJ,11,2228323,259897,1,19083
direct sums,10,NNS,11,9874,2612,1,19083
implies,2,NNS,11,7638691,1388207,1,19083
matrix,2,JJ,11,10320779,527649,1,19083
variables,2,NNS,11,14690001,700849,1,19083
BVM,2,NNP,10,10623,2175,1,19083
balanced,2,VBD,10,4963190,1441275,1,19083
denote,2,JJ,10,3371851,616498,1,19083
equivalence,2,NN,10,1221865,230623,1,19083
equivalent,2,JJ,10,13752172,1772476,1,19083
homogeneous,2,JJ,10,3082234,642921,1,19083
integers,2,NNS,10,1377559,114531,1,19083
linear pencil,10,NN,10,505,165,1,19083
matrix balanced,10,VBD,10,1,1,1,19083
positive integers,10,NNS,10,193862,34497,1,19083
reducing,2,VBG,10,7094167,1365066,1,19083
section,2,NN,10,46534382,2407259,1,19083
sum,2,NN,10,18731511,2020761,1,19083
sums,2,NNS,10,3670693,1083025,1,19083
tuple,2,JJ,10,211450,21102,1,19083
unitarily equivalent,10,JJ,10,7510,1212,1,19083
unitary equivalence,10,NN,10,3645,923,1,19083
vector,2,NN,10,7387436,250115,1,19083
Helton,2,NNP,9,47003,14523,1,19083
Matrix,2,NNP,9,10320779,527649,1,19083
McCullough,2,NNP,9,276151,83107,1,19083
block decomposition,10,NN,9,1455,524,1,19083
contains,2,NNS,9,23078500,2153034,1,19083
g-tuple,2,JJ,9,1,1,1,19083
unit,2,NN,9,26491947,1733853,1,19083
zero,2,CD,9,13204197,1072994,1,19083
Circular,2,NNP,8,5956410,1186938,1,19083
Fix,2,NNP,8,5313414,1583554,1,19083
Hahn-Banach,2,NNP,8,1,1,1,19083
column,2,NN,8,15425069,1491744,1,19083
commutative cross,10,VBP,8,1,1,1,19083
item,2,NN,8,10313272,1386085,1,19083
matrix polynomial,10,JJ,8,3777,955,1,19083
prove,2,VBP,8,18413819,2464490,1,19083
Klep,2,NNP,7,1864,533,1,19083
LMI,2,NNP,7,31833,3339,1,19083
Write,2,NNP,7,31017478,2514650,1,19083
assumption,2,NN,7,10174663,1558747,1,19083
ball,2,NN,7,13418618,1654684,1,19083
direct sum,10,NN,7,99802,9385,1,19083
finite,2,JJ,7,5870570,553502,1,19083
hence,2,NN,7,13532930,1730329,1,19083
holds,2,VBZ,7,11737694,2236445,1,19083
matrix convex,10,JJ,7,1,1,1,19083
minimal defining,10,VBG,7,225,114,1,19083
noncommutative,2,JJ,7,28775,5778,1,19083
separation,2,NN,7,9919132,1595049,1,19083
shows,2,NNS,7,39234520,2727304,1,19083
subset,2,NN,7,1775648,257821,1,19083
tuple,2,NN,7,211450,21102,1,19083
unitarily,2,RB,7,14811,3022,1,19083
Finally,2,NNP,6,30122661,2675215,1,19083
Free Circular,10,NNP,6,1458,979,1,19083
Furthermore,2,NNP,6,9470662,1320978,1,19083
Mathematics,2,NNP,6,5232360,791522,1,19083
Moreover,2,RB,6,13930031,1543142,1,19083
Section,2,NNP,6,46534382,2407259,1,19083
