,word,source,pos
0,polytope,1,NN
1,face,1,NN
2,polytope face,1,NN
3,combinatorial polytope,1,VBP
4,polytope combinatorial polytope,1,NN
5,simplex,1,JJ
6,cube,1,NN
7,polytope orientation,1,NN
8,oriented polytope,1,IN
9,chiral polytope,1,NN
10,polytope chiral polytope,1,NN
11,polytope geometrically chiral,1,JJ
12,Schlegel diagram,1,NNP
13,polytope Schlegel diagram,1,NN
14,Euler's formula,1,NNP
15,fragment on a polytope,1,NN
16,Platonic solid,1,NNP
17,polytope Platonic solid,1,VBD
18,polytope regular,1,JJ
19,f -vector,1,JJ
20,polytope f -vector,1,NN
21,Archimedean solid,1,NNP
22,polytope Archimedean solid,1,VBZ
23,simple polytope,1,NN
24,polytope simple,1,JJ
25,polytope dual,1,JJ
26,polytope simplicial,1,JJ
27,thick path,1,NN
28,k -loop,1,JJ
29,k -loop simple k -loop,1,JJ
30,k -belt,1,NNS
31,graph of a polytope,1,NN
32,polytope graph,1,IN
33,edge path,1,JJ
34,edge path simple,1,JJ
35,cycle,1,NN
36,cycle dual to a k -belt,1,JJ
37,graph simple,1,JJ
38,graph -connected,1,JJ
39,Steinitz theorem,1,NNP
40,theorem Steinitz,1,NN
41,Jordan curve theorem,1,NNP
42,theorem Jordan curve,1,VBZ
43,loop-cut,1,JJ
44,flag polytope,1,NN
45,polytope flag,1,NN
46,connected sum of simple polytopes,1,NNS
47,polytope connected sum,1,JJ
48,p -vector,1,JJ
49,polytope p -vector,1,NN
50,theorem Eberhard's,1,NN
51,p -operation,1,NN
52,first iterative procedure,1,NN
53,second iterative procedure,1,NN
54,iterative procedures,1,VBZ
55,polytope iterative procedures,1,VBZ
56,Gamma -truncation,1,NNP
57,graph-truncation,1,NN
58,theorem analog of Eberhard's theorem for flag polytopes,1,NNS
59,fullerene,1,JJ
60,polytope fullerene,1,JJ
61,Buckminsterfullerene,1,NNP
62,fullerene Buckminsterfullerene,1,NN
63,combinatorial fullerene,1,JJ
64,fullerene icosahedral,1,JJ
65,cyclic k -edge cut,1,JJ
66,fullerene flagness,1,NN
67,fullerene absence of -belts,1,JJ
68,-nanotubes,1,JJ
69,fullerene -belts,1,JJ
70,toric topology,1,NN
