word,pos,frequency,tf_idf,inf
free,JJ,100,0.0913781982369,-0.0185551827215
matrix,NN,64,0.0584820468716,-0.0140902597576
unitary,JJ,42,0.0383788432595,-0.0106186244002
follows,VBZ,40,0.0365512792948,-0.0102643179712
circular,JJ,38,0.03472371533,-0.0099022535505
matrices,NNS,36,0.0328961513653,-0.00953202245463
pencil,NN,33,0.0301548054182,-0.00896035544556
free circular,NA,28,0.0255858955063,-0.00795948231101
polynomials,NNS,28,0.0255858955063,-0.00795948231101
convex,NN,27,0.024672113524,-0.00775136109385
matrix convex,NA,27,0.024672113524,-0.00775136109385
Theorem,NNP,26,0.0237583315416,-0.00754036708737
Hence,NNP,25,0.0228445495592,-0.00732638974616
linear,JJ,24,0.0219307675769,-0.00710930967433
exists,VBZ,23,0.0210169855945,-0.00688899751806
j=1,NN,23,0.0210169855945,-0.00688899751806
denote,NN,22,0.0201032036121,-0.00666531266513
direct,JJ,21,0.0191894216298,-0.00643810170772
equation,NN,21,0.0191894216298,-0.00643810170772
invariant,JJ,21,0.0191894216298,-0.00643810170772
positive,JJ,21,0.0191894216298,-0.00643810170772
subspace,NN,21,0.0191894216298,-0.00643810170772
1<,CD,20,0.0182756396474,-0.0062071966119
Lemma,NNP,20,0.0182756396474,-0.0062071966119
spectrahedron,NN,20,0.0182756396474,-0.0062071966119
closed,VBD,19,0.017361857665,-0.00597241252025
free spectrahedron,NA,19,0.017361857665,-0.00597241252025
block,NN,18,0.0164480756826,-0.005733545091
cross,NN,18,0.0164480756826,-0.005733545091
operator,NN,18,0.0164480756826,-0.005733545091
conjugation,NN,17,0.0155342937003,-0.00549036724438
entries,NNS,17,0.0155342937003,-0.00549036724438
Math,NNP,16,0.0146205117179,-0.0052426251415
coordinate,NN,16,0.0146205117179,-0.0052426251415
cross terms,NA,16,0.0146205117179,-0.0052426251415
respect,NN,16,0.0146205117179,-0.0052426251415
terms,NNS,16,0.0146205117179,-0.0052426251415
Free,NNP,15,0.0137067297355,-0.00499003315497
defining,VBG,15,0.0137067297355,-0.00499003315497
proof,NN,15,0.0137067297355,-0.00499003315497
contains,VBZ,14,0.0127929477532,-0.00473226749393
decomposition,NN,14,0.0127929477532,-0.00473226749393
minimal,JJ,14,0.0127929477532,-0.00473226749393
particular,JJ,14,0.0127929477532,-0.00473226749393
polynomial,JJ,14,0.0127929477532,-0.00473226749393
chain,NN,13,0.0118791657708,-0.00446895800079
coordinate unitary,NA,13,0.0118791657708,-0.00446895800079
j],NN,13,0.0118791657708,-0.00446895800079
linear pencil,NA,13,0.0118791657708,-0.00446895800079
matrix,VBP,13,0.0118791657708,-0.00446895800079
size,NN,13,0.0118791657708,-0.00446895800079
spectrahedra,NN,13,0.0118791657708,-0.00446895800079
unitary conjugation,NA,13,0.0118791657708,-0.00446895800079
boundary,JJ,12,0.0109653837884,-0.00419967741296
convex sets,NA,12,0.0109653837884,-0.00419967741296
direct sums,NA,12,0.0109653837884,-0.00419967741296
free spectrahedra,NA,12,0.0109653837884,-0.00419967741296
matrix polynomials,NA,12,0.0109653837884,-0.00419967741296
monic,JJ,12,0.0109653837884,-0.00419967741296
sets,NNS,12,0.0109653837884,-0.00419967741296
Proposition,NNP,11,0.0100516018061,-0.00392392702704
Suppose,NNP,11,0.0100516018061,-0.00392392702704
circular free,NA,11,0.0100516018061,-0.00392392702704
commutative cross,NA,11,0.0100516018061,-0.00392392702704
convex,JJ,11,0.0100516018061,-0.00392392702704
matrix,JJ,11,0.0100516018061,-0.00392392702704
matrix balanced,NA,11,0.0100516018061,-0.00392392702704
variables,NNS,11,0.0100516018061,-0.00392392702704
A=,NNP,10,0.00913781982369,-0.00364111711911
balanced,VBD,10,0.00913781982369,-0.00364111711911
circular,NN,10,0.00913781982369,-0.00364111711911
equivalence,NN,10,0.00913781982369,-0.00364111711911
equivalent,JJ,10,0.00913781982369,-0.00364111711911
homogeneous,JJ,10,0.00913781982369,-0.00364111711911
integers,NNS,10,0.00913781982369,-0.00364111711911
positive integers,NA,10,0.00913781982369,-0.00364111711911
reducing,VBG,10,0.00913781982369,-0.00364111711911
sum,NN,10,0.00913781982369,-0.00364111711911
sums,NNS,10,0.00913781982369,-0.00364111711911
tuple,JJ,10,0.00913781982369,-0.00364111711911
unitarily equivalent,NA,10,0.00913781982369,-0.00364111711911
unitary equivalence,NA,10,0.00913781982369,-0.00364111711911
vector,NN,10,0.00913781982369,-0.00364111711911
Matrix,NNP,9,0.00822403784132,-0.00335053947734
block decomposition,NA,9,0.00822403784132,-0.00335053947734
direct sum,NA,9,0.00822403784132,-0.00335053947734
free matrix,NA,9,0.00822403784132,-0.00335053947734
homogeneous linear,NA,9,0.00822403784132,-0.00335053947734
implies,NNS,9,0.00822403784132,-0.00335053947734
theorem,NN,9,0.00822403784132,-0.00335053947734
unit,NN,9,0.00822403784132,-0.00335053947734
zero,CD,9,0.00822403784132,-0.00335053947734
Circular,NNP,8,0.00731025585896,-0.00305132762127
Fix,NNP,8,0.00731025585896,-0.00305132762127
Hahn-Banach,NNP,8,0.00731025585896,-0.00305132762127
Helton,NNP,8,0.00731025585896,-0.00305132762127
McCullough,NNP,8,0.00731025585896,-0.00305132762127
column,NN,8,0.00731025585896,-0.00305132762127
contains,NNS,8,0.00731025585896,-0.00305132762127
g-tuple,JJ,8,0.00731025585896,-0.00305132762127
item,NN,8,0.00731025585896,-0.00305132762127
matrix polynomial,NA,8,0.00731025585896,-0.00305132762127
minimal defining,NA,8,0.00731025585896,-0.00305132762127
operator pencil,NA,8,0.00731025585896,-0.00305132762127
pencil ball,NA,8,0.00731025585896,-0.00305132762127
section,NN,8,0.00731025585896,-0.00305132762127
tuple,NN,8,0.00731025585896,-0.00305132762127
1< j<,NA,7,0.00639647387659,-0.00274239691617
LMI,NNP,7,0.00639647387659,-0.00274239691617
Write,NNP,7,0.00639647387659,-0.00274239691617
assumption,NN,7,0.00639647387659,-0.00274239691617
ball,NN,7,0.00639647387659,-0.00274239691617
commutative,JJ,7,0.00639647387659,-0.00274239691617
denote,JJ,7,0.00639647387659,-0.00274239691617
finite,JJ,7,0.00639647387659,-0.00274239691617
hence,NN,7,0.00639647387659,-0.00274239691617
holds,VBZ,7,0.00639647387659,-0.00274239691617
j<,NN,7,0.00639647387659,-0.00274239691617
j=1,JJ,7,0.00639647387659,-0.00274239691617
noncommutative,JJ,7,0.00639647387659,-0.00274239691617
pair,NN,7,0.00639647387659,-0.00274239691617
prove,VBP,7,0.00639647387659,-0.00274239691617
separation,NN,7,0.00639647387659,-0.00274239691617
shows,NNS,7,0.00639647387659,-0.00274239691617
symmetric,JJ,7,0.00639647387659,-0.00274239691617
unit vector,NA,7,0.00639647387659,-0.00274239691617
Finally,NNP,6,0.00548269189422,-0.00242234999437
Free Circular,NA,6,0.00548269189422,-0.00242234999437
Klep,NNP,6,0.00548269189422,-0.00242234999437
Mathematics,NNP,6,0.00548269189422,-0.00242234999437
Moreover,RB,6,0.00548269189422,-0.00242234999437
Section,NNP,6,0.00548269189422,-0.00242234999437
circular matrix,NA,6,0.00548269189422,-0.00242234999437
coefficients,NNS,6,0.00548269189422,-0.00242234999437
convexity,NN,6,0.00548269189422,-0.00242234999437
described,VBD,6,0.00548269189422,-0.00242234999437
